continent,country,month,year,type,category_id
Asia,Afghanistan,May,2018,Malware,5
Asia,Afghanistan,April,2008,Man-in-the-Middle,6
Asia,Afghanistan,August,2020,Malware,5
Asia,Afghanistan,December,2020,APT,0
Asia,Afghanistan,December,2012,DDoS,2
Asia,Afghanistan,January,2021,DDoS,2
Europe,Albania,April,2021,Malware,5
Europe,Albania,September,2020,Phishing,7
Oceania,Australia,January,2022,Man-in-the-Middle,6
Oceania,Australia,July,2018,APT,0
Oceania,Australia,May,2013,DoS,3
Oceania,Australia,November,2018,DoS,3
Oceania,Australia,October,2017,APT,0
Oceania,Australia,January,2019,Phishing,7
Oceania,Australia,October,2014,Man-in-the-Middle,6
Oceania,Australia,December,2018,Espionage,4
Oceania,Australia,December,2015,Malware,5
Oceania,Australia,June,2019,SQL Injection,8
Oceania,Australia,June,2020,APT,0
Oceania,Australia,June,2022,Espionage,4
Oceania,Australia,June,2022,Zero-Day Exploit,9
Oceania,Australia,March,2021,APT,0
Oceania,Australia,March,2010,Zero-Day Exploit,9
Oceania,Australia,May,2021,Malware,5
Oceania,Australia,May,2020,Phishing,7
Oceania,Australia,May,2021,Phishing,7
Oceania,Australia,October,2010,Espionage,4
Oceania,Australia,October,2020,Phishing,7
Oceania,Australia,September,2011,DDoS,2
Europe,Austria,January,2020,APT,0
Europe,Austria,January,2016,Phishing,7
Asia,Azerbaijan,April,2020,DDoS,2
Asia,Azerbaijan,March,2021,Espionage,4
Asia,Azerbaijan,November,2011,Phishing,7
Asia,Azerbaijan,October,2020,APT,0
Asia,Bahrain,December,2019,Malware,5
Asia,Bahrain,February,2021,APT,0
Asia,Bahrain,March,2021,Espionage,4
Asia,Bangladesh,November,2020,Malware,5
Asia,Bangladesh,September,2018,Malware,5
Europe,Belgium,February,2022,Malware,5
Europe,Belgium,May,2008,APT,0
Europe,Belgium,May,2021,Phishing,7
Europe,Belgium,April,2021,Malware,5
Europe,Belgium,May,2021,DDoS,2
Europe,Belgium,September,2020,Phishing,7
South America,Brazil,May,2021,Malware,5
